name,affiliation,homepage,scholarid
Bernhard Egger,Seoul National University,https://csap.snu.ac.kr/bernhard,g-ZpvTIAAAAJ
Bohyung Han,Seoul National University,http://cvlab.snu.ac.kr/~bhhan,9aaeCToAAAAJ
Bongki Moon,Seoul National University,http://dbs.snu.ac.kr/bkmoon,Uk9v1BQAAAAJ
Bongwon Suh,Seoul National University,http://hcc.snu.ac.kr/wordpress,-nlhtEkAAAAJ
Byoung-Tak Zhang,Seoul National University,https://bi.snu.ac.kr/~btzhang,sYTUOu8AAAAJ
Byoungyoung Lee,Seoul National University,https://lifeasageek.github.io,AoDgrKIAAAAJ
Byung Ro Moon,Seoul National University,http://soar.snu.ac.kr/members,N_9XjY4AAAAJ
Byung-Gon Chun,Seoul National University,https://bgchun.wordpress.com,hwnskpoAAAAJ
Byung-Ro Moon,Seoul National University,http://soar.snu.ac.kr/members,N_9XjY4AAAAJ
Chang-Gun Lee,Seoul National University,https://rubis.snu.ac.kr/?mid=members_view&member_srl=167,2rUL6rAAAAAJ
Chong-kwon Kim,Seoul National University,http://popeye.snu.ac.kr,KRykCKkAAAAJ
Chongkwon Kim,Seoul National University,http://popeye.snu.ac.kr,KRykCKkAAAAJ
Chung-Kil Hur,Seoul National University,http://sf.snu.ac.kr/gil.hur,ognOntwAAAAJ
Gahgene Gweon,Seoul National University,http://cclab.snu.ac.kr,l4hK4eEAAAAJ
Gunhee Kim,Seoul National University,http://vision.snu.ac.kr/~gunhee,CiSdOV0AAAAJ
Heon Y. Yeom,Seoul National University,https://cse.snu.ac.kr/en/professor/heon-young-yeom,xuFTRZ8AAAAJ
Heon Young Yeom,Seoul National University,https://cse.snu.ac.kr/en/professor/heon-young-yeom,xuFTRZ8AAAAJ
Hyeonsang Eom,Seoul National University,https://cse.snu.ac.kr/en/professor/hyeonsang-eom,XFX0mx0AAAAJ
Hyoung-Joo Kim,Seoul National University,http://idb.snu.ac.kr/index.php/Member:Hyoung-Joo_Kim,J93QCl0AAAAJ
Hyun Oh Song,Seoul National University,http://ai.stanford.edu/~hsong,ScoZZPsAAAAJ
Jae W. Lee,Seoul National University,https://iamjaelee.github.io/www,PA-QN6IAAAAJ
Jaejin Lee,Seoul National University,http://aces.snu.ac.kr/~jlee,6JaKru0AAAAJ
Jangwoo Kim,Seoul National University,https://hpcs.snu.ac.kr/~jangwoo,bAIDlXEAAAAJ
Jehee Lee,Seoul National University,http://mrl.snu.ac.kr/~jehee,YHlvUsAAAAAJ
Jihong Kim 0001,Seoul National University,http://cares.snu.ac.kr,E9A5Rv8AAAAJ
Jin-Soo Kim 0001,Seoul National University,https://cse.snu.ac.kr/en/professor/jin-soo-kim,U7b2CX0AAAAJ
Jinsoo Kim 0001,Seoul National University,https://cse.snu.ac.kr/en/professor/jin-soo-kim,U7b2CX0AAAAJ
Jinwook Seo,Seoul National University,http://hcil.snu.ac.kr,K1GtDBEAAAAJ
Jung Hee Cheon,Seoul National University,http://www.math.snu.ac.kr/~jhcheon/xe2,KlTc3U4AAAAJ
Jung Ho Ahn,Seoul National University,http://scale.snu.ac.kr,hjIKJrwAAAAJ
Kiyoung Choi,Seoul National University,http://dal.snu.ac.kr/members/professor,_S_oE3gAAAAJ
Kunsoo Park,Seoul National University,http://theory.snu.ac.kr/?page_id=982,StNl-UAAAAAJ
Kwangkeun Yi,Seoul National University,http://ropas.snu.ac.kr/~kwang,VddKJ_wAAAAJ
Kyogu Lee,Seoul National University,http://marg.snu.ac.kr,Fk4jQFEAAAAJ
Kyomin Jung,Seoul National University,http://milab.snu.ac.kr/kjung/index.html,u3uMl4MAAAAJ
Kyoung Mu Lee,Seoul National University,https://cv.snu.ac.kr/~kmlee,Hofj9kAAAAAJ
Kyunghan Lee,Seoul National University,http://nxc.snu.ac.kr,IwQCRuQAAAAJ
Kyuseok Shim,Seoul National University,http://kdd.snu.ac.kr/~shim,3Y254i4AAAAJ
Myung-Soo Kim,Seoul National University,http://3map.snu.ac.kr/mskim,F7VO16YAAAAJ
Nojun Kwak,Seoul National University,http://mipal.snu.ac.kr/index.php/Nojun_Kwak,h_8-1M0AAAAJ
S. Srinivasa Rao 0001,Seoul National University,http://tcs.snu.ac.kr/members/ssrao,ZFDS3bEAAAAJ
Saewoong Bahk,Seoul National University,http://netlab.snu.ac.kr/~sbahk,QQ8diWkAAAAJ
Sang Lyul Min,Seoul National University,http://archi.snu.ac.kr/symin,U4ewRr0AAAAJ
Sang-goo Lee,Seoul National University,http://ids.snu.ac.kr/site/members/M_Sang-goo_Lee.html,sg7xgbsAAAAJ
Songhwai Oh,Seoul National University,http://rllab.snu.ac.kr,VEzNY_oAAAAJ
Soonhoi Ha,Seoul National University,http://iris.snu.ac.kr/xe/sha,QLsrQtYAAAAJ
Srinivasa Rao Satti,Seoul National University,http://tcs.snu.ac.kr/members/ssrao,ZFDS3bEAAAAJ
Sun Kim,Seoul National University,http://biohealth.snu.ac.kr,lI_oWS8AAAAJ
Sunghyun Choi,Seoul National University,http://www.mwnl.snu.ac.kr/~schoi,j0bq9sUAAAAJ
Sungjoo Yoo,Seoul National University,http://cmalab.snu.ac.kr,__waCuYAAAAJ
Sungroh Yoon,Seoul National University,http://ailab.snu.ac.kr,Bphl_fIAAAAJ
Taehyun Kim 0002,Seoul National University,https://cse.snu.ac.kr/en/professor/taehyun-kim,xLVkHSAAAAAJ
Taekyoung Kwon 0001,Seoul National University,http://mmlab.snu.ac.kr/~tk,ruxWSFsAAAAJ
Ted Taekyoung Kwon,Seoul National University,http://mmlab.snu.ac.kr/~tk,ruxWSFsAAAAJ
U Kang,Seoul National University,https://datalab.snu.ac.kr/~ukang,NVTb6RYAAAAJ
Wha Sook Jeon,Seoul National University,http://mccl.snu.ac.kr/Members01.htm,q3Pb7W8AAAAJ
Wonjong Rhee,Seoul National University,http://adsl.snu.ac.kr,htFuYWsAAAAJ
Wonyong Sung,Seoul National University,https://sites.google.com/site/spslab2018/professor,1IfNFz4AAAAJ
Yanghee Choi,Seoul National University,http://mmlab.snu.ac.kr/~yhchoi,Xm_UZdkAAAAJ
Yeong-Gil Shin,Seoul National University,http://cglab.snu.ac.kr/yshin.htm,EhRwlToAAAAJ
Youngki Lee,Seoul National University,https://youngkilee.blogspot.com,Ltw2N1QAAAAJ
Yunheung Paek,Seoul National University,http://sor.snu.ac.kr/document/professors,lQ6E5F0AAAAJ
